Some messages have been moved to the Issues panel.
​ Sat Jan 23 2021 00:20:26 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 9.9
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7.5
​ 131I x:ageGp:fam 781:5:-1 by yellow 231:2:-1 at gen322 Univ0 prob=0.206
​ 131I x:ageGp:fam 261:2:-1 by red 901:6:-1 at gen322 Univ0 prob=0.466
​ 131I x:ageGp:fam 996:9:-1 by blue 365:3:-1 at gen322 Univ0 prob=0.949
​ 133I x:ageGp:fam 790:5:-1 by blue 341:2:-1 at gen323 Univ0 prob=0.289
​ 133I x:ageGp:fam 413:3:-1 by blue 829:6:-1 at gen323 Univ0 prob=0.628
​ 133I x:ageGp:fam 563:4:-1 by red 901:6:-1 at gen323 Univ0 prob=0.191
​ 136I x:ageGp:fam 898:6:-1 by red 54:1:-1 at gen324 Univ0 prob=0.179
​ 136I x:ageGp:fam 138:2:-1 by red 232:2:-1 at gen324 Univ0 prob=0.289
​ 139I x:ageGp:fam 139:2:-1 by red 168:2:-1 at gen325 Univ0 prob=0.087
​ 139I x:ageGp:fam 274:2:-1 by yellow 214:2:-1 at gen325 Univ0 prob=0.124
​ 141I x:ageGp:fam 725:5:-1 by red 600:4:-1 at gen326 Univ0 prob=0.023
​ 143I x:ageGp:fam 291:2:-1 by red 901:6:-1 at gen327 Univ0 prob=0.079
​ 143I x:ageGp:fam 987:9:-1 by blue 823:6:-1 at gen327 Univ0 prob=0.254
​ 144I x:ageGp:fam 649:4:-1 by blue 64:1:-1 at gen328 Univ0 prob=0.295
​ 146I x:ageGp:fam 588:4:-1 by red 101:1:-1 at gen329 Univ0 prob=0.863
​ 146I x:ageGp:fam 270:2:-1 by blue 315:2:-1 at gen329 Univ0 prob=0.387
​ 146I x:ageGp:fam 549:4:-1 by red 600:4:-1 at gen329 Univ0 prob=0.877
​ 147I x:ageGp:fam 358:2:-1 by blue 214:2:-1 at gen330 Univ0 prob=0.955
​ 147I x:ageGp:fam 430:3:-1 by blue 277:2:-1 at gen330 Univ0 prob=0.292
​ 147I x:ageGp:fam 535:3:-1 by red 293:2:-1 at gen330 Univ0 prob=0.150
​ 147I x:ageGp:fam 590:4:-1 by red 950:8:-1 at gen330 Univ0 prob=0.692
​ 147I x:ageGp:fam 961:8:-1 by yellow 921:7:-1 at gen330 Univ0 prob=0.128
​ 150I x:ageGp:fam 41:1:-1 by blue 45:1:-1 at gen331 Univ0 prob=0.272
​ 155I x:ageGp:fam 934:7:-1 by red 54:1:-1 at gen332 Univ0 prob=0.749
​ 155I x:ageGp:fam 63:1:-1 by red 73:1:-1 at gen332 Univ0 prob=0.610
​ 155I x:ageGp:fam 547:4:-1 by red 354:2:-1 at gen332 Univ0 prob=0.919
​ 155I x:ageGp:fam 562:4:-1 by blue 611:4:-1 at gen332 Univ0 prob=0.269
​ 155I x:ageGp:fam 669:4:-1 by red 993:9:-1 at gen332 Univ0 prob=0.824
​ 156I x:ageGp:fam 449:3:-1 by red 600:4:-1 at gen333 Univ0 prob=0.962
​ 161I x:ageGp:fam 785:5:-1 by blue 45:1:-1 at gen334 Univ0 prob=0.819
​ 161I x:ageGp:fam 495:3:-1 by red 168:2:-1 at gen334 Univ0 prob=0.469
​ 161I x:ageGp:fam 557:4:-1 by red 168:2:-1 at gen334 Univ0 prob=0.455
​ 161I x:ageGp:fam 335:2:-1 by blue 214:2:-1 at gen334 Univ0 prob=0.580
​ 161I x:ageGp:fam 501:3:-1 by red 950:8:-1 at gen334 Univ0 prob=0.560
​ 161I x:ageGp:fam 666:4:-1 by red 950:8:-1 at gen334 Univ0 prob=0.386
​ 168I x:ageGp:fam 874:6:-1 by blue 807:5:-1 at gen337 Univ0 prob=0.808
​ 168I x:ageGp:fam 114:1:-1 by red 854:6:-1 at gen338 Univ0 prob=0.159
​ 168I x:ageGp:fam 325:2:-1 by red 168:2:-1 at gen338 Univ0 prob=0.916
​ 168I x:ageGp:fam 940:7:-1 by blue 341:2:-1 at gen338 Univ0 prob=0.126
​ 168I x:ageGp:fam 399:3:-1 by red 882:6:-1 at gen338 Univ0 prob=0.239
​ 168I x:ageGp:fam 700:5:-1 by blue 829:6:-1 at gen338 Univ0 prob=0.816
​ 168I x:ageGp:fam 904:7:-1 by blue 829:6:-1 at gen338 Univ0 prob=0.411
​ 169I x:ageGp:fam 883:6:-1 by blue 185:2:-1 at gen339 Univ0 prob=0.932
​ 169I x:ageGp:fam 567:4:-1 by blue 561:4:-1 at gen339 Univ0 prob=0.493
​ 175I x:ageGp:fam 162:2:-1 by blue 230:2:-1 at gen340 Univ0 prob=0.846
​ 175I x:ageGp:fam 389:3:-1 by blue 295:2:-1 at gen340 Univ0 prob=0.302
​ 175I x:ageGp:fam 728:5:-1 by red 993:9:-1 at gen340 Univ0 prob=0.400
​ 177I x:ageGp:fam 890:6:-1 by red 168:2:-1 at gen341 Univ0 prob=0.379
​ 177I x:ageGp:fam 251:2:-1 by red 354:2:-1 at gen341 Univ0 prob=0.066
​ 180I x:ageGp:fam 225:2:-1 by red 73:1:-1 at gen342 Univ0 prob=0.332
​ 180I x:ageGp:fam 425:3:-1 by red 277:2:-1 at gen342 Univ0 prob=0.271
​ 180I x:ageGp:fam 545:4:-1 by blue 295:2:-1 at gen342 Univ0 prob=0.529
​ 180I x:ageGp:fam 545:4:-1 by blue 611:4:-1 at gen342 Univ0 prob=0.835
